State,District,Latitude,Longitude,District code,Population,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Sex_Ratio,Litercay_Rate
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,847499,655146,1885732,136431,1954,1082,146,7087,88,1080.0,74.0
Gujarat,Narmada,21.706663862928337,73.68403208722742,487,590297,211767,158569,559848,22600,4413,147,80,373,2078,1041.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,539471,462438,1225087,78669,5733,2459,601,13386,2823,1041.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,858054,582751,2220974,158513,2863,662,337,5236,131,1054.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,494631,343282,1194745,142797,916,337,66,3602,66,1069.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,221621,172057,549749,33565,500,248,91,515,38,1052.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,1514075,1210981,3397406,361388,5478,1918,1170,33591,269,1079.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,918625,660109,2260560,148563,6375,614,168,11110,52,1051.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,2687468,1883942,5260193,660772,21052,5703,12902,112835,3920,1270.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,643221,450405,1620282,109681,1419,512,312,22992,128,1075.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,77314,63654,203545,3593,20029,69,32,39,560,994.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,1614087,1278993,3713941,384579,23813,9340,2069,27650,1124,1071.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,655528,515129,1571147,94034,19661,1589,913,13809,1417,1084.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,461288,356737,955096,22143,3705,138202,381,4845,110,1130.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,643158,426713,1611031,15515,873,2401,254,1016,26,1129.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,734940,537799,1588407,161680,9743,34572,640,4883,249,1145.0,70.0
Haryana,Fatehabad,29.572983185840716,75.54608716814157,78,942011,327471,230107,779243,8360,996,150969,171,1172,530,1109.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,638666,472450,1408801,70842,9725,15097,944,7451,254,1170.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,670200,444111,1701061,21650,1945,12270,334,3620,33,1147.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,399480,276611,945693,8247,734,1042,105,645,22,1160.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,502049,330709,1276669,23016,889,29103,172,2594,56,1148.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,385782,260747,974520,8232,1769,87558,265,351,70,1135.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,564516,413497,1341002,31650,2049,126207,532,1516,49,1127.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,370828,276065,805175,15970,1943,140395,214,375,106,1126.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,380440,249815,913251,5660,301,1737,75,644,15,1118.0,68.0
